angle_deg,stage,d405_green_clearance_mm,camera_to_tcp_target_mm,blue_px,blue_cx,blue_cy,blue_touches_border,tray_px,tray_cx,tray_cy,tray_touches_border,left_finger_px,right_finger_px
23.0,high_align,11.978580146293359,74.2627214881891,18706,319.5,286.27713033251365,False,1320,630.6333333333333,408.59090909090907,True,6329,6255
23.0,pregrasp,11.978580146293359,74.26272148781369,29864,319.3996115724618,333.76523573533353,False,0,nan,nan,False,4871,4816
23.0,grasp,11.978580146293359,74.26272148820583,43888,319.5,386.4010207801677,True,0,nan,nan,False,0,0
23.0,preplace,11.978580146293359,74.26272148818731,0,nan,nan,False,105105,319.49925312782455,221.76767993910852,False,6329,6255
23.0,place,11.978580146293359,74.2627214881937,0,nan,nan,False,199680,319.5,242.27574118589743,True,0,0
24.0,high_align,11.573113873333023,73.68466716810921,18814,319.5,277.54416923567555,False,1427,630.1366503153469,400.4148563419762,True,7050,6958
24.0,pregrasp,11.573113873333023,73.68466716773392,29765,319.39647236687387,325.09820258693094,False,0,nan,nan,False,5619,5545
24.0,grasp,11.573113873333023,73.68466716812594,45904,319.5,382.21671314046705,True,0,nan,nan,False,0,0
24.0,preplace,11.573113873333023,73.68466716810744,0,nan,nan,False,106282,319.5,211.38134397169793,False,7050,6958
24.0,place,11.573113873333023,73.68466716811388,0,nan,nan,False,202862,319.5,233.9425225029823,True,459,459
25.0,high_align,11.166786383304487,73.10606495439399,18850,319.5,269.29050397877984,False,1524,629.6935695538058,392.4422572178478,True,7773,7677
25.0,pregrasp,11.166786383304487,73.10606495401873,29686,319.3986390891329,316.4699184800916,False,0,nan,nan,False,6380,6300
25.0,grasp,11.166786383304487,73.10606495441073,46914,319.5,375.1931619559193,True,0,nan,nan,False,570,570
25.0,preplace,11.166786383304487,73.1060649543922,0,nan,nan,False,107592,319.5,201.36294520038663,False,7773,7677
25.0,place,11.166786383304487,73.10606495439866,0,nan,nan,False,205856,319.5,225.49200411938443,True,1189,1189
26.0,high_align,10.759630899041992,72.52708009223066,18890,319.5,261.011222869243,False,1615,629.3009287925696,384.62414860681116,True,8546,8449
